time,open,high,low,close
1714037700,2926.15,2926.2,2922.2,2922.6
1714038000,2923.75,2923.75,2917.45,2917.45
1714038300,2917.5,2918.1,2913.2,2913.2
1714038600,2913.25,2914.8,2912.3,2912.55
1714038900,2912.75,2920,2912,2917.7
1714103100,2927.9,2928.8,2917.1,2922.45
1714103400,2921.65,2929.9,2921.65,2923.25
1714103700,2924,2927.6,2922.8,2924.55
1714104000,2924.85,2929,2921,2921.8
1714104300,2922.25,2924.15,2919.2,2920.35
1714104600,2920.6,2928.7,2918.85,2927.25
1714104900,2927.45,2928,2923.95,2924.5
1714105200,2925.45,2925.5,2920.65,2924.2
1714105500,2923.65,2925,2918.1,2919.65
1714105800,2919.7,2920.5,2910.6,2910.6
1714106100,2910,2913.35,2907.9,2909.3
1714106400,2909.75,2911.5,2906.1,2909.55
1714106700,2909,2910.75,2905.35,2907.55
1714107000,2907.6,2912.8,2907.6,2912.1
1714107300,2912.05,2913.7,2910.4,2913.7
1714107600,2913.5,2913.7,2912,2912.1
1714107900,2912.05,2913.1,2911.45,2912.1
1714108200,2912.5,2916.6,2912,2915.15
1714108500,2915.2,2916,2914,2914.05
1714108800,2914.9,2919.25,2914.35,2917.1
